date,revenue,avg_price,inventory_level,marketing_spend,complaint_sentiment_score
2026-01-01,51274.25,40.05,12000.0,2116.49,0.771
2026-01-02,54064.01,39.84,12096.0,2173.14,0.807
2026-01-03,45675.41,40.11,12134.0,2229.1,0.791
2026-01-04,40846.51,40.14,11983.0,2221.19,0.767
2026-01-05,50744.07,39.71,11667.0,2069.87,0.762
2026-01-06,52828.04,39.8,11733.0,2210.86,0.781
2026-01-07,52615.06,40.02,11657.0,2227.39,0.758
2026-01-08,50715.38,39.95,11759.0,2502.1,0.768
2026-01-09,54984.88,40.0,11800.0,2425.22,0.786
2026-01-10,44232.26,39.87,12183.0,2097.61,0.801
2026-01-11,40791.46,40.13,12103.0,2165.51,0.791
2026-01-12,53200.01,40.12,11862.0,2024.39,0.739
2026-01-13,54059.43,40.01,11922.0,2129.12,0.785
2026-01-14,53514.52,40.17,11982.0,2237.87,0.781
2026-01-15,51420.76,40.07,12284.0,2344.7,0.787
2026-01-16,54226.64,39.87,12425.0,2112.51,0.809
2026-01-17,45331.88,40.06,12440.0,2121.5,0.743
2026-01-18,39137.01,39.86,12696.0,1942.33,0.769
2026-01-19,53290.61,40.13,12330.0,2180.48,0.791
2026-01-20,53955.07,39.99,12140.0,2072.51,0.752
2026-01-21,52333.62,39.97,11915.0,2136.47,0.807
2026-01-22,50387.16,39.9,11842.0,2094.78,0.787
2026-01-23,56100.29,40.18,11563.0,2188.69,0.795
2026-01-24,44860.92,39.98,11768.0,1989.07,0.77
2026-01-25,39614.5,39.94,11754.0,2023.95,0.795
2026-01-26,52183.08,39.95,11467.0,2455.51,0.799
2026-01-27,54479.08,40.08,11324.0,2045.51,0.784
2026-01-28,52828.9,40.05,11494.0,2068.39,0.784
2026-01-29,51371.46,40.06,11754.0,2420.43,0.785
2026-01-30,55387.74,40.06,12231.0,2548.61,0.764
2026-01-31,46927.48,40.32,12837.0,2059.41,0.777
2026-02-01,39634.23,39.94,12803.0,2155.81,0.777
2026-02-02,52038.98,39.92,12465.0,2240.99,0.787
2026-02-03,53267.6,39.88,11926.0,2407.44,0.798
2026-02-04,53054.38,40.09,11996.0,2081.58,0.761
2026-02-05,52016.08,40.17,11818.0,2170.57,0.778
2026-02-06,54897.45,39.98,11754.0,2293.28,0.807
2026-02-07,44243.86,39.87,11656.0,2252.17,0.767
2026-02-08,39257.97,39.88,11677.0,2154.86,0.765
2026-02-09,53085.53,40.1,11960.0,2183.94,0.784
2026-02-10,54668.93,40.11,12000.0,2035.01,0.795
2026-02-11,52988.84,40.08,11965.0,2171.42,0.78
2026-02-12,50401.04,39.9,11743.0,2168.03,0.804
2026-02-13,55208.95,40.03,11413.0,2227.86,0.795
2026-02-14,45105.02,40.02,11394.0,2133.36,0.795
2026-02-15,40196.82,40.03,11473.0,2256.58,0.79
2026-02-16,53284.29,40.13,11941.0,2321.53,0.822
2026-02-17,54201.24,40.03,11978.0,2218.65,0.776
2026-02-18,53111.02,40.1,12198.0,2242.21,0.744
2026-02-19,51060.82,40.01,12058.0,2206.38,0.809
2026-02-20,55260.21,40.04,11789.0,2200.01,0.772
2026-02-21,45568.16,40.09,11608.0,2113.41,0.782
2026-02-22,38688.56,39.78,11507.0,2237.98,0.804
2026-02-23,52212.3,39.95,12050.0,2188.33,0.751
2026-02-24,53576.66,39.93,11861.0,2451.18,0.757
2026-02-25,51925.01,39.9,12067.0,2388.8,0.751
2026-02-26,50752.37,39.96,11858.0,2246.3,0.766
2026-02-27,56345.45,40.22,12084.0,2108.43,0.788
2026-02-28,44220.75,39.87,12156.0,2066.51,0.789
2026-03-01,40871.45,40.15,12098.0,2342.94,0.785
2026-03-02,50985.42,39.75,12075.0,2231.53,0.755
2026-03-03,53698.6,39.95,11919.0,2257.62,0.738
2026-03-04,52646.48,40.02,12030.0,1990.65,0.781
2026-03-05,51527.6,40.09,11925.0,2311.29,0.772
2026-03-06,55640.1,40.11,11667.0,2254.53,0.788
2026-03-07,45714.01,40.12,11436.0,2066.75,0.793
2026-03-08,39686.15,39.95,11558.0,2143.42,0.782
2026-03-09,52083.88,39.93,11972.0,2231.65,0.794
2026-03-10,54772.18,40.13,12011.0,2206.3,0.784
2026-03-11,52327.83,39.97,11983.0,2164.94,0.79
2026-03-12,49851.88,39.81,12049.0,2187.58,0.767
2026-03-13,53980.04,39.83,12329.0,2169.76,0.777
2026-03-14,44172.49,39.86,12328.0,2218.31,0.784
2026-03-15,40447.44,40.07,12188.0,2376.58,0.795
2026-03-16,52628.18,40.02,12403.0,1892.0,0.773
2026-03-17,54621.44,40.1,12437.0,2171.58,0.789
2026-03-18,52115.47,39.94,12709.0,2221.18,0.775
2026-03-19,51142.69,40.02,12643.0,2235.52,0.778
2026-03-20,55563.03,40.09,12277.0,2155.37,0.795
2026-03-21,44721.59,39.95,11935.0,1989.19,0.744
2026-03-22,40411.1,40.07,12308.0,2239.36,0.757
2026-03-23,51904.27,39.9,12641.0,2407.28,0.753
2026-03-24,53673.25,39.95,12505.0,2015.94,0.738
2026-03-25,52156.44,39.94,12345.0,2303.66,0.768
2026-03-26,49923.74,39.82,12615.0,2160.58,0.793
2026-03-27,55438.28,40.07,12279.0,2192.64,0.775
2026-03-28,44577.54,39.93,12040.0,2073.65,0.784
2026-03-29,40011.24,40.0,12176.0,2159.87,0.8
2026-03-30,52932.67,46.07,12063.0,2356.01,0.804
2026-03-31,54401.88,46.07,12052.0,2269.92,0.779
2026-04-01,53098.85,46.1,12008.0,2407.88,0.804
2026-04-02,50911.36,45.98,12081.0,2341.29,0.782
2026-04-03,54619.03,45.94,12379.0,2252.69,0.765
2026-04-04,44928.25,45.99,12342.0,2409.27,0.769
2026-04-05,38481.4,45.75,12432.0,2252.68,0.753
